locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,property_type,amenities_score,parking,distance_to_it_park_km,price_lakhs
Moshi,Outskirts,3,1779.9,3,1.0,2,11,14,Apartment,1,0,12.8,97.84
Aundh,Premium West,2,1202.2,3,1.0,1,9,22,Apartment,3,1,8.4,206.18
Somwar Peth,Central,2,1132.0,2,2.0,12,6,18,Apartment,2,1,1.0,74.2
Koregaon Park,Premium West,3,1314.0,3,2.0,8,13,13,Apartment,3,0,10.1,280.51
Balewadi,IT Corridor,4,2047.1,4,1.0,5,0,10,Apartment,2,1,1.1,234.84
Hadapsar,Outskirts,1,844.2,1,3.0,2,17,28,Apartment,4,1,2.4,87.84
Bavdhan,Mid-tier,2,1291.5,3,1.0,1,5,16,Apartment,1,0,1.8,103.25
Undri,Outskirts,1,697.3,1,2.0,3,5,18,Apartment,2,1,6.3,49.75
Kothrud,IT Corridor,2,1117.6,2,0.0,18,7,26,Apartment,2,0,0.0,134.79
Undri,Outskirts,4,2129.5,4,2.0,12,8,22,Builder Floor,1,1,9.1,106.0
Wagholi,Outskirts,2,1132.5,2,1.0,5,6,8,Apartment,5,1,3.8,84.78
Ravet,Mid-tier,4,2045.3,4,2.0,5,22,22,Apartment,3,1,11.8,186.67
Sinhgad Road,Outskirts,2,1203.7,2,1.0,5,4,8,Apartment,3,1,8.1,65.89
Undri,Outskirts,1,742.9,1,0.0,3,3,4,Builder Floor,0,1,6.1,41.35
Wagholi,Outskirts,3,1376.5,3,1.0,8,6,8,Apartment,1,0,6.0,72.38
Undri,Outskirts,3,1815.4,3,2.0,3,1,3,Apartment,3,1,4.2,130.08
Hinjewadi,Mid-tier,2,854.3,2,2.0,2,12,17,Apartment,0,1,8.3,67.54
Camp,Central,5,2596.2,5,0.0,12,24,26,Apartment,0,1,9.0,231.17
Sinhgad Road,Outskirts,2,1121.2,3,2.0,5,3,16,Apartment,2,1,12.2,82.59
Kalyani Nagar,Premium West,5,3162.2,6,2.0,12,11,14,Apartment,0,0,7.4,524.49
Shivaji Nagar,Central,2,1101.9,3,2.0,5,15,19,Apartment,3,1,4.5,118.49
Narhe,Outskirts,2,1150.6,2,2.0,8,5,18,Apartment,4,1,2.9,67.65
Baner,Premium West,2,949.5,2,3.0,2,9,19,Builder Floor,0,1,7.3,173.6
Undri,Outskirts,2,1228.5,3,1.0,5,11,16,Apartment,1,1,4.5,75.28
Camp,Central,2,1053.8,2,2.0,8,0,11,Builder Floor,2,1,2.6,54.38
Sinhgad Road,Outskirts,2,1094.1,2,3.0,2,4,12,Apartment,2,1,3.6,84.63
Shivaji Nagar,Central,3,1584.2,4,2.0,1,20,20,Apartment,4,1,0.4,187.03
Shivaji Nagar,Central,4,1908.1,4,1.0,8,4,26,Apartment,3,1,3.5,161.8
Kothrud,IT Corridor,5,3144.0,5,3.0,25,18,21,Apartment,5,1,5.5,350.41
Kothrud,IT Corridor,2,1006.9,2,2.0,1,5,22,Apartment,1,1,2.3,123.96
Hadapsar,Outskirts,3,1734.1,3,1.0,3,1,8,Apartment,4,1,9.4,165.1
Kondhwa,Outskirts,2,1053.1,2,0.0,12,0,4,Apartment,1,1,6.5,54.88
Hinjewadi,Mid-tier,2,992.9,2,1.0,1,19,20,Apartment,0,1,1.1,93.59
Chinchwad,Outskirts,3,1329.2,3,3.0,3,11,28,Apartment,4,1,1.5,109.35
Kharadi,IT Corridor,2,1014.2,2,2.0,8,15,18,Builder Floor,5,0,11.9,102.07
Narhe,Outskirts,2,1012.9,3,2.0,2,5,13,Apartment,1,0,6.6,61.56
Hadapsar,Outskirts,1,762.1,1,0.0,2,14,25,Apartment,3,1,6.4,73.8
NIBM Road,Outskirts,2,1006.3,2,1.0,3,0,18,Apartment,1,1,4.3,81.2
Magarpatta,Mid-tier,2,987.8,2,1.0,18,6,10,Apartment,3,0,1.4,72.92
Kothrud,IT Corridor,3,1670.8,3,1.0,0,14,21,Apartment,0,1,9.2,221.18
Sinhgad Road,Outskirts,2,871.0,2,1.0,8,4,24,Apartment,1,1,8.7,47.95
Bavdhan,Mid-tier,3,1400.7,4,2.0,2,7,9,Villa,3,0,9.6,176.5
Baner,Premium West,2,1151.9,2,2.0,1,11,26,Builder Floor,2,0,6.9,198.97
Kothrud,IT Corridor,3,1823.7,3,1.0,5,14,24,Apartment,1,0,5.0,225.88
Chinchwad,Outskirts,3,1764.3,4,1.0,5,1,4,Apartment,5,1,5.9,131.12
Pashan,Premium West,2,1092.6,2,2.0,12,4,4,Apartment,1,1,1.0,164.47
Narayan Peth,Central,2,984.2,2,1.0,3,8,8,Villa,1,1,2.3,85.89
Narhe,Outskirts,5,2677.6,5,2.0,2,5,18,Apartment,0,1,10.8,136.94
Magarpatta,Mid-tier,3,1396.8,3,3.0,2,9,21,Apartment,1,1,10.1,146.1
Aundh,Premium West,3,1541.9,4,1.0,8,9,13,Apartment,3,1,5.6,260.73
NIBM Road,Outskirts,3,1644.3,4,1.0,3,1,6,Apartment,4,1,3.7,145.84
Moshi,Outskirts,1,585.6,1,1.0,1,13,13,Apartment,0,0,8.5,43.7
Kiwale,Outskirts,1,862.5,1,1.0,3,4,5,Apartment,3,1,2.5,50.71
Sinhgad Road,Outskirts,5,2461.1,5,2.0,8,4,11,Apartment,5,1,8.2,150.02
Shivaji Nagar,Central,3,1371.4,3,1.0,0,3,4,Apartment,3,1,2.1,171.13
Aundh,Premium West,3,1506.0,3,2.0,3,16,16,Apartment,4,1,3.9,290.75
Ravet,Mid-tier,2,1054.1,2,1.0,5,4,22,Apartment,4,1,3.1,87.75
Bavdhan,Mid-tier,2,991.0,2,2.0,8,10,12,Villa,4,1,6.9,108.2
Hinjewadi,Mid-tier,3,1506.4,4,1.0,8,26,29,Apartment,3,1,5.2,122.55
Kharadi,IT Corridor,3,1612.6,3,2.0,18,1,18,Apartment,1,0,7.2,233.73
Wagholi,Outskirts,2,696.8,3,2.0,1,17,24,Builder Floor,2,1,0.6,48.27
Narhe,Outskirts,4,2105.8,4,2.0,3,6,11,Apartment,5,1,1.9,154.86
Moshi,Outskirts,2,546.2,2,2.0,8,9,22,Apartment,3,1,0.7,27.99
Narayan Peth,Central,2,1290.0,3,3.0,3,2,5,Apartment,1,1,12.0,83.27
Hadapsar,Outskirts,1,589.9,1,2.0,18,2,28,Apartment,5,1,7.1,35.9
Somwar Peth,Central,2,1221.3,3,2.0,5,4,17,Apartment,2,0,1.4,81.08
Koregaon Park,Premium West,5,2801.4,6,1.0,0,1,16,Apartment,5,1,0.1,685.0
Sinhgad Road,Outskirts,1,511.9,2,3.0,2,15,29,Apartment,3,1,14.6,24.76
Balewadi,IT Corridor,3,1428.7,3,3.0,8,5,6,Apartment,0,1,7.7,173.72
Swargate,Central,2,999.1,2,2.0,5,22,29,Apartment,3,1,4.8,89.38
Undri,Outskirts,1,589.7,1,0.0,2,5,9,Apartment,1,0,1.8,32.39
Boat Club Road,Premium West,5,3342.7,5,1.0,5,17,18,Apartment,2,1,3.8,896.22
Wagholi,Outskirts,3,1668.5,3,1.0,8,21,29,Builder Floor,5,1,1.2,101.69
Magarpatta,Mid-tier,3,1700.7,3,1.0,3,13,13,Apartment,2,1,3.8,160.96
Boat Club Road,Premium West,1,669.0,1,0.0,3,1,14,Apartment,1,1,2.1,87.68
Narhe,Outskirts,3,1673.1,3,3.0,5,7,13,Apartment,4,1,5.6,152.78
Wagholi,Outskirts,2,1036.2,2,2.0,2,2,4,Apartment,3,1,4.1,76.03
Magarpatta,Mid-tier,2,890.2,2,1.0,3,11,18,Apartment,2,1,1.9,87.37
Sinhgad Road,Outskirts,1,615.2,1,2.0,5,8,11,Villa,1,1,4.7,43.89
Bavdhan,Mid-tier,3,977.6,3,1.0,8,21,26,Apartment,0,1,6.5,71.18
Boat Club Road,Premium West,5,2991.3,6,1.0,5,10,28,Apartment,1,1,6.3,765.76
Wakad,Mid-tier,2,1140.3,3,2.0,8,6,29,Villa,4,0,9.5,112.03
Kothrud,IT Corridor,5,2303.9,6,1.0,5,2,17,Apartment,2,0,12.8,254.49
Baner,Premium West,3,1731.3,3,2.0,5,5,9,Builder Floor,4,1,1.1,308.17
Somwar Peth,Central,3,1779.1,3,2.0,5,6,10,Builder Floor,1,1,5.9,95.63
Shivaji Nagar,Central,2,1082.4,3,2.0,3,2,27,Villa,4,0,1.7,137.41
Viman Nagar,IT Corridor,4,2081.3,5,1.0,2,0,6,Apartment,0,1,12.6,294.66
Hinjewadi,Mid-tier,2,905.0,3,3.0,1,7,8,Apartment,1,1,4.1,75.84
Pashan,Premium West,3,1500.7,4,3.0,18,11,18,Apartment,0,1,6.2,218.09
Magarpatta,Mid-tier,1,626.9,2,2.0,25,25,25,Apartment,4,0,3.0,39.81
Kondhwa,Outskirts,2,1105.5,3,2.0,2,0,9,Apartment,2,1,7.0,73.63
Chinchwad,Outskirts,1,442.0,1,,2,8,8,Apartment,5,1,3.8,41.11
Baner,Premium West,2,671.5,2,2.0,12,8,15,Apartment,5,1,11.1,101.66
Aundh,Premium West,2,1048.2,3,1.0,1,5,28,Villa,0,1,10.7,242.54
Kondhwa,Outskirts,2,1249.3,2,1.0,5,5,19,Apartment,4,0,7.6,90.87
Koregaon Park,Premium West,2,1277.2,2,2.0,1,4,7,Apartment,4,0,5.3,264.66
Pashan,Premium West,1,566.8,1,1.0,2,23,25,Builder Floor,1,1,8.7,83.17
Swargate,Central,2,980.9,2,0.0,3,7,23,Apartment,1,1,4.0,70.98
Swargate,Central,2,1042.4,2,1.0,2,0,24,Apartment,3,1,1.5,91.98
Hadapsar,Outskirts,2,1476.7,2,1.0,3,2,18,Apartment,4,1,4.9,96.86
Hinjewadi,Mid-tier,3,1677.8,4,1.0,1,5,13,Apartment,1,0,6.2,137.03
Kondhwa,Outskirts,2,1287.4,3,1.0,1,3,3,Apartment,4,1,0.9,140.82
Kalyani Nagar,Premium West,5,2445.3,6,1.0,5,0,3,Apartment,4,0,6.1,372.32
Wakad,Mid-tier,2,849.6,2,3.0,2,4,12,Apartment,1,0,8.5,64.72
Kothrud,IT Corridor,4,2095.6,4,1.0,8,3,19,Apartment,1,1,8.2,226.5
NIBM Road,Outskirts,3,1150.3,3,2.0,3,7,16,Villa,0,1,4.6,113.38
Shivaji Nagar,Central,4,2197.2,5,0.0,3,9,9,Builder Floor,0,0,5.3,206.81
Sinhgad Road,Outskirts,2,1019.7,2,2.0,2,17,27,Apartment,2,1,12.0,80.75
Baner,Premium West,3,1418.1,3,2.0,2,6,6,Apartment,2,1,3.5,228.11
Magarpatta,Mid-tier,2,865.3,2,1.0,5,27,29,Builder Floor,3,1,7.9,88.19
Swargate,Central,3,1716.1,3,1.0,2,22,27,Builder Floor,2,1,5.8,169.37
Balewadi,IT Corridor,2,786.0,3,2.0,18,4,12,Apartment,4,1,8.5,117.71
Narayan Peth,Central,1,631.4,2,1.0,3,8,17,Apartment,2,0,2.2,52.59
Somwar Peth,Central,4,1999.9,5,2.0,3,0,5,Apartment,4,1,12.4,119.87
Narhe,Outskirts,4,1946.3,4,1.0,5,0,4,Apartment,1,0,7.2,106.03
Kothrud,IT Corridor,2,973.2,2,,25,11,15,Apartment,0,1,4.5,117.59
Aundh,Premium West,2,952.5,2,3.0,0,3,4,Apartment,2,1,10.8,159.19
Magarpatta,Mid-tier,3,1670.8,4,1.0,25,0,16,Apartment,0,0,3.3,123.29
Chinchwad,Outskirts,2,849.3,2,0.0,5,5,11,Apartment,3,0,6.3,52.79
Shivaji Nagar,Central,1,586.5,1,1.0,5,0,10,Apartment,5,1,11.3,48.83
Boat Club Road,Premium West,2,886.0,2,1.0,8,9,27,Villa,5,1,9.3,214.52
Swargate,Central,1,640.3,1,1.0,3,0,13,Builder Floor,4,0,3.5,49.92
Hinjewadi,Mid-tier,1,860.2,1,2.0,12,6,7,Apartment,4,1,5.5,65.39
NIBM Road,Outskirts,2,1016.7,3,1.0,5,16,17,Apartment,5,0,0.8,90.42
Viman Nagar,IT Corridor,4,2031.5,5,2.0,1,17,21,Apartment,1,1,8.9,290.46
Hinjewadi,Mid-tier,2,1048.8,2,1.0,12,16,26,Apartment,0,1,2.8,80.93
Kalyani Nagar,Premium West,2,1132.5,2,1.0,25,1,7,Apartment,5,0,1.7,160.62
Shivaji Nagar,Central,2,911.1,2,1.0,8,0,11,Apartment,5,1,8.6,75.93
Camp,Central,2,693.7,3,2.0,2,2,19,Apartment,0,1,8.0,48.64
Kondhwa,Outskirts,2,855.4,2,1.0,5,6,19,Apartment,0,1,4.0,69.0
Narhe,Outskirts,1,594.3,1,2.0,12,6,18,Apartment,2,1,6.1,25.65
Ravet,Mid-tier,2,930.0,2,1.0,12,23,27,Apartment,1,1,9.1,60.14
Chinchwad,Outskirts,3,1620.5,3,1.0,2,1,4,Apartment,2,1,1.8,132.73
Magarpatta,Mid-tier,3,1560.1,4,2.0,5,4,17,Builder Floor,2,1,1.3,123.8
Koregaon Park,Premium West,4,1036.8,4,2.0,5,1,12,Apartment,0,0,5.4,188.06
Sinhgad Road,Outskirts,2,1227.8,3,2.0,5,4,7,Apartment,1,1,4.5,81.11
NIBM Road,Outskirts,3,1508.8,3,3.0,3,11,26,Apartment,0,1,4.7,125.66
Camp,Central,3,1328.6,3,0.0,5,6,16,Builder Floor,2,1,9.9,83.42
Aundh,Premium West,3,1689.0,3,1.0,5,0,12,Villa,2,0,6.4,312.05
Aundh,Premium West,2,790.8,3,3.0,25,7,21,Apartment,0,1,5.9,83.8
Chinchwad,Outskirts,2,1231.1,2,2.0,2,0,3,Apartment,0,1,0.5,92.57
Magarpatta,Mid-tier,3,1378.0,3,0.0,12,4,5,Apartment,3,1,7.0,118.1
Bavdhan,Mid-tier,2,1196.7,2,1.0,3,16,24,Apartment,5,1,4.1,113.94
Moshi,Outskirts,1,532.8,2,1.0,0,23,23,Apartment,1,0,12.2,38.61
Narhe,Outskirts,2,971.2,2,1.0,1,3,22,Apartment,3,1,3.4,73.15
Shivaji Nagar,Central,3,1556.8,3,2.0,2,14,17,Apartment,0,0,5.2,146.47
Swargate,Central,2,1156.4,2,0.0,3,6,8,Apartment,4,0,3.4,97.52
Koregaon Park,Premium West,1,521.7,1,2.0,1,25,26,Apartment,2,0,0.4,98.53
Kothrud,IT Corridor,2,1147.1,3,2.0,3,7,7,Apartment,0,1,14.0,125.48
Magarpatta,Mid-tier,2,975.1,2,3.0,5,4,5,Apartment,0,1,8.1,113.85
Viman Nagar,IT Corridor,3,1629.3,3,3.0,8,1,8,Apartment,5,1,7.6,184.2
Baner,Premium West,4,2360.0,5,3.0,3,9,14,Apartment,0,1,1.2,374.48
Wakad,Mid-tier,2,758.3,2,3.0,3,18,29,Apartment,3,1,0.3,77.81
Kiwale,Outskirts,2,1081.5,2,2.0,3,22,28,Apartment,0,1,1.6,60.15
Undri,Outskirts,3,1576.6,3,2.0,8,7,29,Apartment,2,1,9.1,99.54
Undri,Outskirts,4,2221.1,4,2.0,2,7,9,Apartment,5,0,6.1,166.08
Kharadi,IT Corridor,2,956.9,2,2.0,5,9,10,Apartment,4,1,4.6,118.23
Viman Nagar,IT Corridor,2,991.2,2,2.0,3,11,11,Apartment,0,1,1.1,120.67
Narayan Peth,Central,1,614.2,1,2.0,3,2,20,Apartment,1,1,6.7,48.81
NIBM Road,Outskirts,5,2238.8,5,1.0,5,15,20,Builder Floor,0,0,7.4,153.79
Swargate,Central,1,631.1,1,1.0,1,10,24,Builder Floor,0,1,9.7,55.99
Narayan Peth,Central,2,1144.9,3,2.0,3,10,27,Apartment,5,1,6.5,109.21
Kondhwa,Outskirts,3,1822.3,4,3.0,5,3,4,Apartment,4,1,2.9,145.36
Kondhwa,Outskirts,2,876.7,2,2.0,5,5,9,Apartment,4,1,5.6,67.15
Boat Club Road,Premium West,4,1810.3,5,0.0,25,12,12,Builder Floor,4,0,10.2,270.99
Kondhwa,Outskirts,1,578.4,1,,5,3,4,Apartment,0,1,7.9,32.37
Camp,Central,4,1845.9,4,2.0,5,15,29,Apartment,4,1,8.3,146.7
Narhe,Outskirts,2,912.5,2,1.0,0,3,5,Apartment,5,0,7.2,76.16
NIBM Road,Outskirts,1,587.2,2,3.0,0,22,27,Apartment,3,0,4.7,50.42
Somwar Peth,Central,1,603.7,1,,2,17,22,Apartment,1,1,3.0,56.5
Kothrud,IT Corridor,2,947.4,2,2.0,18,10,27,Apartment,3,1,6.6,108.19
Wagholi,Outskirts,3,1470.4,4,2.0,12,2,9,Apartment,0,1,5.7,70.82
Kalyani Nagar,Premium West,1,585.0,2,2.0,5,7,14,Apartment,2,1,8.6,105.84
Kiwale,Outskirts,3,2104.4,3,0.0,0,3,9,Apartment,0,1,11.1,135.72
Narhe,Outskirts,1,535.9,1,0.0,8,3,3,Apartment,0,1,2.4,30.04
Moshi,Outskirts,2,1139.4,3,3.0,1,1,19,Apartment,5,1,10.9,78.8
Wakad,Mid-tier,2,1505.1,3,0.0,0,9,11,Apartment,1,0,6.9,159.8
Baner,Premium West,3,2020.7,3,1.0,3,10,23,Apartment,4,0,8.5,275.94
Hadapsar,Outskirts,1,797.9,1,0.0,5,14,20,Builder Floor,0,1,3.9,64.56
Narhe,Outskirts,2,1090.9,2,1.0,0,3,5,Apartment,1,1,11.1,77.07
Shivaji Nagar,Central,2,1041.4,2,2.0,3,18,19,Builder Floor,5,1,1.5,83.61
Shivaji Nagar,Central,2,1024.8,3,1.0,0,3,10,Apartment,4,1,10.7,80.97
Ravet,Mid-tier,2,1104.3,2,1.0,12,0,5,Villa,2,1,7.6,79.45
Wagholi,Outskirts,2,1147.5,3,1.0,1,1,7,Apartment,5,1,6.3,65.64
Bavdhan,Mid-tier,1,618.3,1,0.0,25,4,4,Builder Floor,5,0,10.3,43.56
Sinhgad Road,Outskirts,3,1099.3,3,3.0,5,4,12,Apartment,5,1,2.4,67.22
Boat Club Road,Premium West,3,1300.0,3,2.0,12,5,6,Apartment,4,1,3.8,196.01
Viman Nagar,IT Corridor,2,892.3,2,3.0,2,8,20,Apartment,4,1,7.5,98.63
Wagholi,Outskirts,2,1180.2,2,1.0,18,10,24,Apartment,4,1,5.5,73.36
Moshi,Outskirts,3,1158.9,3,2.0,2,1,4,Apartment,0,0,6.9,81.08
Koregaon Park,Premium West,4,2232.5,5,2.0,12,15,20,Apartment,0,1,2.2,458.13
Sinhgad Road,Outskirts,2,1080.7,2,,12,0,14,Apartment,1,0,8.3,67.52
Balewadi,IT Corridor,3,1717.2,3,2.0,3,18,18,Apartment,2,1,7.6,159.92
Magarpatta,Mid-tier,3,1013.9,3,1.0,12,3,5,Apartment,5,1,1.6,98.48
Kondhwa,Outskirts,3,1427.9,3,2.0,12,3,15,Builder Floor,1,1,12.1,60.49
Shivaji Nagar,Central,3,1694.1,4,0.0,3,7,8,Apartment,2,0,8.5,141.01
NIBM Road,Outskirts,4,1888.2,4,2.0,5,7,26,Apartment,2,1,9.7,139.51
Kondhwa,Outskirts,3,1493.5,3,2.0,12,8,24,Apartment,1,1,7.7,72.42
Bavdhan,Mid-tier,3,927.6,3,2.0,8,7,7,Apartment,4,0,2.0,80.29
Aundh,Premium West,2,1247.0,2,0.0,8,26,27,Apartment,1,1,3.1,234.37
Chinchwad,Outskirts,1,674.7,1,2.0,2,3,5,Apartment,1,1,6.9,46.38
Ravet,Mid-tier,2,1120.7,3,2.0,1,3,14,Apartment,0,0,7.4,89.98
Narayan Peth,Central,1,618.4,1,1.0,18,1,16,Apartment,5,1,6.6,45.59
Somwar Peth,Central,2,893.8,3,2.0,2,13,14,Builder Floor,1,1,12.2,82.8
Balewadi,IT Corridor,1,509.1,1,2.0,5,1,8,Apartment,5,1,3.5,67.56
Wakad,Mid-tier,4,1798.4,4,2.0,5,8,21,Apartment,0,1,7.3,146.23
Wagholi,Outskirts,2,1038.3,2,1.0,25,13,18,Apartment,4,1,6.9,59.51
Narayan Peth,Central,3,1628.3,3,1.0,12,10,14,Apartment,2,1,8.4,142.96
Swargate,Central,3,1446.7,3,3.0,1,10,21,Apartment,2,0,9.3,110.05
Balewadi,IT Corridor,3,1415.4,3,1.0,5,13,27,Apartment,3,0,5.7,183.86
NIBM Road,Outskirts,3,1475.9,4,2.0,1,15,27,Apartment,4,1,8.8,147.29
Koregaon Park,Premium West,3,1638.5,3,2.0,8,5,5,Apartment,5,1,12.1,367.88
NIBM Road,Outskirts,3,1323.4,3,1.0,12,6,6,Apartment,1,1,0.8,88.45
NIBM Road,Outskirts,4,2075.7,4,1.0,18,17,22,Apartment,4,1,1.0,180.37
Kothrud,IT Corridor,3,1286.4,3,0.0,5,5,19,Villa,4,1,3.4,175.87
Wakad,Mid-tier,1,569.7,1,0.0,5,4,4,Apartment,5,1,8.5,62.02
Kothrud,IT Corridor,4,1720.5,4,1.0,5,21,22,Apartment,2,1,0.3,244.6
Shivaji Nagar,Central,2,1200.6,2,1.0,25,8,13,Builder Floor,3,1,0.6,88.48
Kondhwa,Outskirts,2,1067.7,3,2.0,0,23,26,Apartment,4,0,3.1,64.3
NIBM Road,Outskirts,3,1027.3,3,1.0,8,3,20,Apartment,1,1,6.7,77.57
NIBM Road,Outskirts,2,1218.2,2,1.0,5,8,18,Apartment,5,1,11.9,101.5
Viman Nagar,IT Corridor,2,818.7,2,2.0,1,11,13,Apartment,2,0,5.8,89.55
Moshi,Outskirts,2,1334.0,3,1.0,8,0,21,Apartment,3,0,6.0,72.57
Viman Nagar,IT Corridor,2,1285.4,2,2.0,3,2,6,Apartment,3,1,2.8,145.3
Somwar Peth,Central,4,2316.4,5,2.0,1,12,15,Builder Floor,0,1,9.2,150.52
Pashan,Premium West,5,3328.8,5,2.0,3,2,12,Apartment,1,0,13.2,470.25
Camp,Central,3,1664.2,3,1.0,8,3,3,Apartment,5,0,3.9,128.64
Swargate,Central,2,1102.4,3,1.0,3,10,21,Apartment,0,1,3.1,72.05
Swargate,Central,3,1675.8,3,2.0,25,4,8,Apartment,4,0,3.9,109.3
Kothrud,IT Corridor,2,989.3,3,1.0,1,0,5,Apartment,1,1,7.9,119.14
Viman Nagar,IT Corridor,2,941.0,2,2.0,12,11,27,Villa,3,0,2.8,132.56
Kothrud,IT Corridor,3,1466.0,3,2.0,0,5,20,Apartment,3,0,7.4,158.27
Baner,Premium West,2,810.7,2,1.0,3,14,16,Apartment,1,0,1.4,118.17
Undri,Outskirts,4,2259.9,5,2.0,0,0,4,Apartment,0,1,10.9,139.76
Balewadi,IT Corridor,1,598.9,1,2.0,2,3,7,Apartment,2,1,7.3,97.55
Boat Club Road,Premium West,3,1700.8,4,1.0,18,16,21,Apartment,1,0,2.8,264.59
Koregaon Park,Premium West,5,4096.7,5,2.0,2,3,5,Apartment,0,1,12.5,924.76
Chinchwad,Outskirts,3,1678.5,4,2.0,1,10,27,Apartment,0,1,10.2,120.71
Kothrud,IT Corridor,2,1021.5,2,0.0,8,3,26,Apartment,5,1,8.5,112.03
Viman Nagar,IT Corridor,2,984.9,3,1.0,12,3,15,Builder Floor,4,1,5.4,97.77
Sinhgad Road,Outskirts,3,1603.7,3,1.0,1,11,14,Apartment,1,1,20.5,103.57
Boat Club Road,Premium West,4,2163.9,4,1.0,3,7,27,Villa,0,1,5.8,426.77
Narhe,Outskirts,4,1750.6,4,2.0,8,2,9,Apartment,0,0,2.6,92.06
Swargate,Central,4,2134.4,5,1.0,8,0,7,Apartment,4,1,7.0,188.83
Wagholi,Outskirts,3,1573.2,3,0.0,2,0,11,Apartment,3,1,15.1,85.01
Balewadi,IT Corridor,3,1318.4,4,1.0,5,13,28,Apartment,1,1,11.0,157.8
Bavdhan,Mid-tier,3,1340.8,4,2.0,3,4,28,Apartment,1,0,5.2,98.56
Kharadi,IT Corridor,3,1829.0,3,2.0,2,5,20,Apartment,5,1,0.1,313.16
Baner,Premium West,3,1922.5,3,1.0,2,5,13,Apartment,4,1,12.5,265.19
Narhe,Outskirts,3,1673.3,3,0.0,3,6,7,Apartment,3,1,3.5,113.21
Wakad,Mid-tier,2,906.5,2,1.0,3,14,18,Apartment,4,1,0.4,77.01
Kalyani Nagar,Premium West,1,500.7,1,2.0,2,2,4,Villa,3,0,6.6,138.23
Somwar Peth,Central,2,987.4,2,1.0,1,4,21,Builder Floor,5,1,12.8,74.3
Kalyani Nagar,Premium West,2,1015.8,3,1.0,1,3,21,Apartment,4,0,8.3,177.29
Bavdhan,Mid-tier,1,529.1,1,2.0,5,7,14,Apartment,2,0,0.2,42.25
Koregaon Park,Premium West,3,1094.4,3,2.0,5,0,7,Apartment,0,1,2.2,203.02
Aundh,Premium West,2,1211.9,2,2.0,2,5,6,Apartment,5,1,11.4,228.87
Pashan,Premium West,2,1021.0,2,2.0,3,14,25,Apartment,5,1,0.8,171.21
Kalyani Nagar,Premium West,2,782.1,2,2.0,8,13,17,Apartment,5,1,6.3,111.7
Kondhwa,Outskirts,2,985.6,2,2.0,2,6,12,Apartment,5,1,3.9,77.58
Narhe,Outskirts,2,943.7,2,1.0,12,0,11,Apartment,0,0,3.8,60.67
Undri,Outskirts,4,1704.2,4,1.0,8,20,27,Apartment,5,1,1.1,153.28
Somwar Peth,Central,3,1441.6,4,1.0,18,23,26,Apartment,3,1,0.3,114.72
Aundh,Premium West,3,1677.1,4,2.0,12,4,13,Builder Floor,3,1,9.0,203.54
Hinjewadi,Mid-tier,2,1193.7,3,1.0,0,20,20,Apartment,5,1,7.6,119.02
Bavdhan,Mid-tier,3,1660.3,4,2.0,5,7,20,Apartment,2,1,3.8,181.15
Wagholi,Outskirts,4,2120.9,5,1.0,1,11,29,Apartment,4,1,7.4,187.93
Kondhwa,Outskirts,3,1489.5,4,2.0,0,8,11,Apartment,4,1,12.7,100.54
Viman Nagar,IT Corridor,2,650.7,3,1.0,5,3,4,Apartment,5,1,5.3,62.04
Hadapsar,Outskirts,2,1156.3,3,1.0,5,1,20,Apartment,1,1,5.0,76.25
Pashan,Premium West,4,2226.1,4,0.0,2,22,22,Apartment,0,1,6.4,341.49
Sinhgad Road,Outskirts,3,1638.8,4,1.0,8,17,27,Apartment,0,1,2.7,121.84
Moshi,Outskirts,3,1553.2,3,1.0,8,3,3,Villa,4,0,3.7,121.14
Ravet,Mid-tier,2,1088.1,2,1.0,25,5,9,Apartment,3,0,5.7,65.88
Boat Club Road,Premium West,2,757.9,2,1.0,8,14,14,Apartment,5,1,12.5,140.57
Koregaon Park,Premium West,2,1020.1,2,2.0,3,7,16,Apartment,3,1,5.7,145.7
NIBM Road,Outskirts,2,891.1,2,2.0,5,3,9,Apartment,4,1,11.3,75.35
Hinjewadi,Mid-tier,2,924.4,2,2.0,18,7,28,Builder Floor,3,1,5.5,67.34
Shivaji Nagar,Central,3,1213.4,3,2.0,8,10,18,Apartment,0,1,13.3,102.05
Magarpatta,Mid-tier,2,1036.9,3,1.0,8,1,4,Apartment,1,1,9.8,81.76
Kharadi,IT Corridor,3,1337.2,4,1.0,8,3,17,Apartment,5,1,13.2,188.34
Pashan,Premium West,2,992.0,3,1.0,0,6,13,Builder Floor,1,1,11.2,154.71
Hinjewadi,Mid-tier,3,1501.1,3,0.0,2,2,3,Apartment,3,1,0.4,176.11
Ravet,Mid-tier,3,1747.0,4,3.0,3,12,26,Apartment,2,1,6.4,132.5
Chinchwad,Outskirts,2,1053.6,2,3.0,8,5,24,Builder Floor,1,1,8.8,61.35
Hinjewadi,Mid-tier,2,1343.8,2,2.0,3,0,6,Apartment,3,1,10.8,109.46
Kharadi,IT Corridor,2,1088.8,2,1.0,2,4,15,Apartment,2,1,10.4,127.4
Wakad,Mid-tier,3,1173.9,4,1.0,5,2,14,Apartment,1,1,0.8,130.26
Hinjewadi,Mid-tier,2,1020.4,2,1.0,0,3,10,Apartment,4,1,10.4,83.86
